Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic
1,Two Sum,1,Easy,57.1,100.0,S,Array/Hash Table
2,LRU Cache,146,Medium,46.8,88.7,S,Design/Hash Table/Linked List
3,Trapping Rain Water,42,Hard,66.8,87.4,S,Array/Two Pointers/Stack/DP
4,Number of Islands,200,Medium,63.8,86.0,S,Graph/DFS/BFS/Matrix
5,Longest Substring Without Repeating Characters,3,Medium,38.5,83.8,S,Hash Table/String/Sliding Window
6,Best Time to Buy and Sell Stock,121,Easy,56.4,83.3,S,Array/DP
7,Group Anagrams,49,Medium,72.2,80.1,S,Array/Hash Table/String/Sorting
8,Add Two Numbers,2,Medium,48.0,79.3,S,Linked List/Math
9,Reorganize String,767,Medium,56.8,78.9,S,Greedy/Heap/String
10,3Sum,15,Medium,38.6,78.7,S,Array/Two Pointers/Sorting
11,Longest Palindromic Substring,5,Medium,37.4,78.5,S,Two Pointers/String/DP
12,Merge Intervals,56,Medium,51.2,76.6,S,Array/Sorting
13,Container With Most Water,11,Medium,59.6,76.5,S,Array/Two Pointers/Greedy
14,Median of Two Sorted Arrays,4,Hard,46.0,76.4,S,Array/Binary Search/Divide&Conquer
15,Koko Eating Bananas,875,Medium,49.7,75.1,S,Array/Binary Search
16,Valid Parentheses,20,Easy,43.7,74.8,S,String/Stack
17,Course Schedule,207,Medium,50.8,74.7,S,Graph/DFS/BFS/Topological Sort
18,Merge k Sorted Lists,23,Hard,58.9,74.1,S,Linked List/Heap/Divide&Conquer
19,Longest Common Prefix,14,Easy,47.1,73.8,S,String/Trie
20,Rotting Oranges,994,Medium,58.2,73.7,S,Array/BFS/Matrix
21,Subarray Sum Equals K,560,Medium,46.8,73.0,S,Array/Hash Table/Prefix Sum
22,Merge Sorted Array,88,Easy,54.4,72.6,S,Array/Two Pointers
23,Search in Rotated Sorted Array,33,Medium,44.1,71.4,S,Array/Binary Search
24,Top K Frequent Elements,347,Medium,65.9,71.2,S,Hash Table/Heap/Bucket Sort
25,Maximum Subarray,53,Medium,53.0,70.9,S,Array/Divide&Conquer/DP
26,Longest Consecutive Sequence,128,Medium,47.0,70.6,S,Array/Hash Table/Union Find
27,Copy List with Random Pointer,138,Medium,62.4,70.3,S,Hash Table/Linked List
28,Lowest Common Ancestor of a Binary Tree,236,Medium,68.8,70.1,S,Tree/DFS
29,Generate Parentheses,22,Medium,78.3,69.8,S,String/DP/Backtracking
30,Palindrome Number,9,Easy,60.3,69.5,S,Math
31,Word Ladder,127,Hard,44.9,69.2,S,Hash Table/String/BFS
32,Majority Element,169,Easy,66.1,69.0,S,Array/Hash Table/Divide&Conquer
33,Product of Array Except Self,238,Medium,68.6,68.2,S,Array/Prefix Sum
34,Merge Two Sorted Lists,21,Easy,68.0,67.5,S,Linked List/Recursion
35,Jump Game,55,Medium,40.5,67.4,S,Array/DP/Greedy
36,Climbing Stairs,70,Easy,53.9,66.8,S,Math/DP/Memoization
37,House Robber,198,Medium,52.9,66.7,S,Array/DP
38,Letter Combinations of a Phone Number,17,Medium,65.5,66.4,S,Hash Table/String/Backtracking
39,Course Schedule II,210,Medium,55.0,65.8,S,Graph/DFS/BFS/Topological Sort
